4713903,1,150818,128,101,10374,1,CO020233,1,RTV4713903
4718307,1,150818,107,101,10374,1,CO020233,1,RTV4718307
4719067,1,150818,177,101,10374,1,CO020233,1,RTV4719067
4719283,1,150818,257,101,10374,1,CO020233,1,RTV4719283
4719311,1,150818,177,101,10374,1,CO020233,1,RTV4719311
4719765,1,150818,171,101,10374,1,CO020233,1,RTV4719765
4720210,1,150818,104,104,10374,1,CO020233,1,RTV4720210
4719682,1,150819,832,804,10374,1,CO020233,1,RTV4719682
4720802,1,150819,827,803,10374,1,CO020233,1,RTV4720802
4722539,1,150819,307,101,10374,1,CO020233,1,RTV4722539
4719209,1,150818,112,101,10374,2,CO020233,1,RTV4719209
4720414,1,150819,300,101,10374,2,CO020233,1,RTV4720414
4721902,1,150819,187,101,10374,2,CO020233,1,RTV4721902
4721944,1,150819,144,101,10374,2,CO020233,1,RTV4721944
4722122,1,150819,163,101,10374,2,CO020233,1,RTV4722122
4722618,1,150819,218,101,10374,2,CO020233,1,RTV4722618
4722368,1,150819,308,101,10374,3,CO020233,1,RTV4722368
4722618,1,150819,218,101,10374,3,CO020233,1,RTV4722618
