5190497,1,151229,725,700,14563,1,CO025142,1,RTV5190497
5190548,1,151229,725,700,14563,1,CO025142,1,RTV5190548
5190897,1,151229,732,700,14563,1,CO025142,1,RTV5190897
5190926,1,151229,732,700,14563,1,CO025142,1,RTV5190926
5191074,1,151229,731,700,14563,1,CO025142,1,RTV5191074
5191272,1,151229,705,700,14563,1,CO025142,1,RTV5191272
5192577,1,151229,706,700,14563,1,CO025142,1,RTV5192577
5192961,1,151229,713,700,14563,1,CO025142,1,RTV5192961
5193801,1,151229,702,700,14563,1,CO025142,1,RTV5193801
5194823,1,151229,719,700,14563,1,CO025142,1,RTV5194823
5198642,1,151231,726,700,14563,1,CO025142,1,RTV5198642
